id,name,purpose,mmname,position,party
4656,All-Party Parliamentary Group on Fixed Odds Betting Terminals,To address the issues associated with Fixed Odds Betting Terminals.,Stuart C. McDonald,Secretary,Scottish National Party
4657,All Party-Parliamentary Group for The Parliament Choir,"The study and practice of choral music in order to foster public knowledge and appreciation of such music by means of public performance. The promotion of the art of singing and music by means of assistance to young singers and musicians and by the provision of scholarships, bursaries and prizes for singers.",Sue Hayman,Chair & Registered Contact,Labour
4658,All-Party Parliamentary Group on Nuclear Energy,A forum for parliamentarians to discuss civil nuclear energy on a cross-party basis.,Sue Hayman,Co-Chair,Labour
4659,All-Party Parliamentary Group on Charities and Volunteering,To provide a forum for discussing the issues affecting the voluntary and community sector.,Susan Elan Jones,Chair & Registered Contact,Labour
4660,All-Party Parliamentary Group for Transport Safety,To protect human life through the promotion of transport safety for the public benefit.,Susan Elan Jones,Vice Chair,Labour
4661,All-Party Parliamentary Group for the Wood Panel Industry,To raise within Parliament issues of concern to the wood panel industry and provide parliamentarians with accurate information about matters relating to the wood panel industry.,Susan Elan Jones,Vice Chair,Labour
4662,"All-Party Parliamentary Group on Business, Finance and Accountancy","To enable high level discussion between Parliament and business leaders on major issues relating to business, finance and accountancy.",Teresa Pearce,Officer,Labour
4663,All-Party Parliamentary Group on Epilepsy,To raise awareness of epilepsy among parliamentarians and to engage with individuals and organisations in supporting the promotion of the needs of the epilepsy community.,Teresa Pearce,Secretary,Labour
4664,All-Party Parliamentary Group for First Aid,To discuss initiatives to further the spread of good first aid practices in society.,Teresa Pearce,Officer,Labour
4665,All-Party Parliamentary Group on Lyme Disease,"To provide a way for parliamentarians, organisations, and those affected by Lyme Disease to discuss the current provision of diagnosis and treatment, the pressing need for research, the level of awareness, and to bring about significant and positive change.",Teresa Pearce,Vice Chair,Labour
4666,All-Party Parliamentary Group on Pensions,To develop and encourage pensions arrangements in the UK.,Teresa Pearce,Secretary,Labour
4667,All-Party Parliamentary Group for Valproate and other Anti-Epileptic Drugs in Pregnancy,To raise Government awareness of the dangers of Valproate and other Anti-Epileptic Drugs in pregnancy and to support and advocate for those harmed by the drugs taken by the mother in pregnancy.,Teresa Pearce,Officer,Labour
4668,All-Party Parliamentary Group on Somaliland,"To promote understanding of and support for Somaliland's achievements in building peace, democratic governance and a sovereign state in the Horn of Africa, its important role in combatting terrorism and piracy in the region and beyond, and the need for continued UK assistance for Somaliland's development.",Thangam Debbonaire,Vice Chair,Labour
4669,All-Party Parliamentary Group on Autism,"To raise awareness of issues affecting people with autism and Asperger syndrome, their families and carers; to raise parliamentary awareness of autism; to campaign for changes to government policy to benefit people with autism and Asperger syndrome and improve diagnosis or support for people with autism and Asperger syndrome.",Thangam Debbonaire,Officer,Labour
4670,All-Party Parliamentary Group on Breast Cancer,"To raise the profile of breast cancer issues within parliament. The group provides a forum for MPs and Peers to discuss important issues affecting patients with breast cancer. It encourages dialogue between parliamentarians, government, the NHS and those living with or affected by the disease.",Thangam Debbonaire,Vice Chair,Labour
4671,"All-Party Parliamentary Group on Children, Teenagers, and Young Adults with Cancer","To raise awareness of the issues affecting children, teenagers, and young adults with cancer and their families in Parliament.",Thangam Debbonaire,Chair & Registered Contact,Labour
4672,All-Party Parliamentary Group for Disability,"To work on all-party basis within Parliament for the interests of all disabled people, their families, friends and carers.",Thangam Debbonaire,Vice Chair,Labour
4673,All-Party Parliamentary Group on Perpetrators of Domestic Abuse,"To ensure MPs and Peers have access to information about (a) perpetrators of domestic violence and (b) what makes an effective and safe perpetrator programme.  To link MPs and Peers with local programmes, in order to increase their understanding of the above.",Thangam Debbonaire,Chair & Registered Contact,Labour
4674,All-Party Parliamentary Group on Domestic Violence and Abuse,"To work towards the elimination of domestic violence and abuse, to highlight issues arising for survivors and specialist support services, and to contribute to the development of policy and legislation in this area.",Thangam Debbonaire,Officer,Labour
4675,All-Party Parliamentary Group on Food Waste,"To bring together parliamentarians with an interest in this issue; to facilitate informed discussion with policy-makers, the food industry and environmental and food redistribution organisations; to promote policies which will reduce food waste.",Thangam Debbonaire,Vice Chair,Labour
4676,Performers' Alliance All-Party Parliamentary Group,"To work alongside the unions of the Performers' Alliance - Equity, the Musicians' Union and the Writers' Guild of Great Britain - to raise issues affecting performers and writers across the arts community and to provide a forum for issues relating to arts and culture policy.",Thangam Debbonaire,Vice-Chair,Labour
